    Finished release [optimized] target(s) in 0.07s
     Running `target/release/tester ../final.out`
44 137 100
45 137 100
46 137 100
47 137 100
48 137 100
49 137 100
50 137 100
51 137 100
52 137 100
53 137 100
53 137 100
54 137 100
54 137 100
55 137 100
55 137 100
55 137 100
56 137 200
56 137 100
56 137 100
56 137 100
57 137 400
57 137 100
57 137 100
58 137 500
58 137 100
58 137 100
58 137 100
59 137 700
59 137 100
59 137 100
60 137 800
60 137 100
60 137 100
61 137 900
61 137 100
62 137 900
62 137 100
63 137 900
63 138 900
63 138 100
63 139 900
63 139 100
63 140 900
63 141 900
63 142 900
63 143 100
63 143 100
63 143 100
63 143 100
63 143 100
63 143 100
63 144 500
63 145 500
63 146 500
63 147 100
63 147 100
63 148 100
63 148 100
63 149 100
63 149 100
63 150 100
63 151 100
63 152 100
63 153 100
63 154 100
63 155 100
44 60 100
45 60 100
46 60 100
47 60 100
48 60 100
49 60 100
50 60 100
51 60 100
52 60 100
52 60 100
53 60 100
53 60 100
53 60 100
54 60 200
54 60 100
54 60 100
55 60 300
55 60 100
55 60 100
56 60 400
56 60 100
56 60 100
56 60 100
57 60 600
57 60 100
57 60 100
57 60 100
57 60 100
58 60 900
58 60 100
58 60 100
58 60 100
59 60 1100
59 60 100
59 60 100
60 60 1200
60 60 100
60 60 100
60 60 100
61 60 1400
61 60 100
62 60 1400
63 60 1400
64 60 1400
65 60 100
65 60 100
65 60 100
65 60 100
65 60 100
65 60 100
65 60 100
65 60 100
65 60 100
65 60 100
66 60 900
67 60 900
68 60 900
69 60 100
69 60 100
69 60 100
69 60 100
70 60 300
71 60 300
71 59 300
71 58 100
71 58 100
71 58 100
71 57 200
71 57 100
71 56 200
71 56 100
71 55 200
71 54 200
71 53 200
71 52 100
71 51 100
71 50 100
71 49 100
71 48 100
71 47 100
71 46 100
71 45 100
71 44 100
71 43 100
71 42 100
71 41 100
114 34 100
114 34 100
113 34 100
113 34 100
112 34 100
112 34 100
111 34 100
111 34 100
110 34 100
110 34 100
109 34 100
109 34 100
108 34 100
108 34 100
107 34 100
107 34 100
107 34 100
106 34 200
106 34 100
106 34 100
105 34 300
105 34 100
105 34 100
104 34 400
104 34 100
104 34 100
103 34 500
103 34 100
103 34 100
102 34 600
102 34 100
102 34 100
102 34 100
101 34 800
101 34 100
101 34 100
101 34 100
100 34 1000
100 34 100
100 34 100
100 34 100
100 34 100
99 34 1300
99 34 100
99 34 100
99 34 100
99 34 100
98 34 1600
98 34 100
98 34 100
98 34 100
98 34 100
97 34 1900
97 34 100
97 34 100
97 34 100
97 34 100
97 34 100
96 34 2300
96 34 100
96 34 100
96 34 100
96 34 100
96 34 100
95 34 2700
95 34 100
95 34 100
95 34 100
95 34 100
94 34 3000
94 34 100
94 34 100
94 34 100
94 34 100
93 34 3300
93 34 100
93 34 100
93 34 100
92 34 3500
92 34 100
92 34 100
91 34 3600
91 34 100
90 34 3600
90 34 100
89 34 3600
88 34 3600
87 34 3600
86 34 100
86 34 100
86 34 100
86 34 100
86 34 100
86 34 100
86 34 100
86 34 100
86 34 100
86 34 100
