    Finished release [optimized] target(s) in 0.03s
     Running `target/release/tester ../mv10.out`
91 11 50
90 11 50
89 11 50
88 11 50
87 11 50
86 11 50
85 11 50
84 11 50
83 11 50
82 11 50
81 11 50
80 11 50
79 11 50
78 11 50
77 11 50
76 11 50
75 11 50
74 11 50
73 11 50
72 11 50
71 11 50
70 11 50
69 11 50
68 11 50
67 11 50
66 11 50
65 11 50
64 11 50
63 11 50
62 11 50
61 11 50
60 11 50
59 11 50
58 11 50
57 11 50
56 11 50
55 11 50
54 11 50
53 11 50
52 11 50
51 11 50
50 11 50
49 11 50
48 11 50
47 11 50
46 11 50
45 11 50
44 11 50
43 11 50
42 11 50
41 11 50
40 11 50
39 11 50
38 11 50
37 11 50
36 11 50
35 11 50
34 11 50
33 11 50
32 11 50
31 11 50
30 11 50
29 11 50
28 11 50
27 11 50
26 11 50
25 11 50
24 11 50
23 11 50
22 11 50
21 11 50
20 11 50
20 11 50
19 11 50
19 11 50
18 11 50
18 11 50
18 11 50
17 11 50
17 11 50
17 11 50
17 11 50
16 11 50
16 11 50
16 11 50
16 11 50
16 11 50
15 11 50
15 11 50
15 11 50
15 11 50
15 11 50
15 11 50
14 11 50
14 11 50
14 11 50
14 11 50
14 11 50
14 11 50
14 11 50
14 10 300
14 10 50
14 9 50
14 9 50
14 9 50
14 9 50
14 9 50
14 9 50
14 8 50
14 8 50
14 8 50
14 8 50
14 8 50
14 8 50
14 7 50
14 7 50
14 7 50
14 7 50
14 7 50
14 7 50
14 6 50
14 6 50
14 6 50
14 6 50
14 6 50
14 6 50
14 5 50
14 5 50
14 5 50
14 5 50
14 5 50
14 5 50
14 5 50
14 4 50
14 4 50
14 4 50
14 4 50
14 4 50
14 4 50
14 4 50
14 4 50
67 12 350
67 13 50
67 14 50
67 15 50
67 16 50
67 17 50
67 18 50
67 19 50
67 20 50
67 21 50
67 22 50
67 23 50
67 24 50
67 25 50
67 26 50
67 27 50
67 28 50
67 29 50
67 30 50
67 31 50
67 32 50
67 33 50
67 34 50
67 35 50
67 36 50
67 37 50
67 38 50
11 76 50
12 76 50
13 76 50
14 76 50
14 75 50
14 74 50
14 73 50
14 72 50
14 71 50
14 70 50
14 69 50
14 68 50
14 67 50
14 66 50
14 65 50
14 64 50
14 63 50
14 63 50
14 62 50
14 62 50
14 61 50
14 61 50
14 61 50
14 60 50
14 60 50
14 60 50
14 60 50
14 59 50
14 59 50
14 59 50
14 59 50
14 59 50
14 58 50
14 58 50
14 58 50
14 58 50
14 58 50
14 58 50
14 58 50
14 58 50
14 57 50
14 57 50
14 57 50
14 57 50
14 57 50
14 57 50
14 57 50
14 57 50
14 57 50
14 57 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 56 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 55 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 54 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 53 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 52 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 51 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 50 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 49 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 48 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 47 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 46 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
14 45 50
