66522 93940
47729 48652 36
11692 12710 10
55129 56354 1
61575 62813 72
37634 37649 72
5112 5459 8
57463 57970 5
12911 13826 1
26206 26551 7
63221 63766 63
66104 66334 26
916 2208 38
10481 10704 58
19892 20333 51
56811 57070 43
2306 2860 16
51117 52174 76
20557 21524 98
23328 24398 20
56310 56926 42
10825 10985 48
47376 48598 72
46092 46846 57
15176 16358 12
56427 57538 81
11137 11727 18
33321 34468 98
36312 37544 27
58392 58710 98
64257 64791 11
60198 60528 64
31156 32186 96
38641 38827 14
50671 51905 39
40658 41861 46
22899 22905 88
48491 49133 24
4907 5978 93
26235 26327 27
43240 43374 27
6314 7548 45
42324 42360 68
149 844 34
52740 53586 63
7793 9085 91
16807 17286 35
59 204 17
51222 51877 87
15291 15385 80
25393 25911 41
53461 54526 53
18701 19001 34
3159 4089 60
1212 1219 21
18597 19612 88
24295 24326 85
24133 25261 41
25491 26259 9
23608 23626 78
12719 13745 36
3723 4097 14
47295 48079 43
60137 60934 86
16963 17932 63
44707 44976 40
13494 13986 71
65247 65409 45
15585 15969 3
20689 20999 25
51681 52968 96
50141 51301 92
38412 39408 68
52294 53597 20
42168 42904 95
44670 45647 90
47284 48346 19
23892 25149 24
12770 13932 64
7127 8282 66
55964 56214 52
26057 27208 37
3688 4089 65
33698 33859 98
13460 14701 96
41739 42157 39
7505 7744 82
55714 56926 10
48679 48691 59
19833 20043 32
10926 11954 76
31214 31886 91
16187 17004 99
55737 56093 22
37984 38878 83
43587 44505 42
54798 55180 73
6817 6901 82
65934 66385 31
54503 55464 75
26715 27104 73
8238 8671 26
24085 25115 25
8790 9967 94
7855 8283 56
48527 49450 48
26206 26231 97
20003 20533 8
16139 16383 14
59276 59354 68
148 579 86
40190 41069 54
51527 52371 44
60859 61523 84
28907 30002 36
56303 57109 79
45920 46456 16
58322 59250 95
29507 30201 62
60615 61160 93
2428 3405 20
53755 54764 89
35109 35926 45
8325 9085 14
22128 23117 3
55067 55825 27
59698 60327 25
15202 16380 96
17044 17483 83
7299 8608 25
54384 55656 9
53365 53962 58
51341 52334 48
61639 62142 90
5610 6374 27
52921 53329 49
